pk_management_record_id,management_date,management_time,fk_responsible_employee_id,fk_product_id,fk_variant_id,warehouse_change_quantity,shelf_change_quantity
1,2023-01-10,08:00:00,21,1,1,-5,5
2,2023-01-10,09:00:00,22,1,2,-10,10
3,2023-01-11,10:30:00,23,2,1,-8,8
4,2023-01-11,11:00:00,24,2,2,-6,6
5,2023-01-12,08:30:00,25,3,1,-4,4
6,2023-01-12,09:30:00,26,3,2,-2,2
7,2023-01-13,10:15:00,27,4,1,-7,7
8,2023-01-13,10:45:00,28,4,2,-3,3
9,2023-01-14,08:20:00,29,5,1,-6,6
10,2023-01-14,09:10:00,30,5,2,-8,8
11,2023-01-15,11:00:00,21,6,1,-5,5
12,2023-01-15,12:00:00,22,6,2,-10,10
13,2023-01-16,08:00:00,23,7,1,-3,3
14,2023-01-16,08:30:00,24,7,2,-4,4
15,2023-01-17,09:00:00,25,8,1,-7,7
16,2023-01-17,10:00:00,26,8,2,-2,2
17,2023-01-18,08:45:00,27,9,1,-1,1
18,2023-01-18,09:50:00,28,9,2,-5,5
19,2023-01-19,08:30:00,29,10,1,-8,8
20,2023-01-19,09:30:00,30,10,2,-7,7
21,2023-01-20,10:15:00,21,11,1,-6,6
22,2023-01-20,11:15:00,22,11,2,-3,3
23,2023-01-21,08:00:00,23,12,1,-4,4
24,2023-01-21,08:45:00,24,12,2,-5,5
25,2023-01-22,09:30:00,25,13,1,-2,2
26,2023-01-22,10:30:00,26,13,2,-3,3
27,2023-01-23,08:20:00,27,14,1,-4,4
28,2023-01-23,09:40:00,28,14,2,-2,2
29,2023-01-24,10:30:00,29,15,1,-5,5
30,2023-01-24,11:00:00,30,15,2,-3,3
31,2023-01-25,08:15:00,21,16,1,-7,7
32,2023-01-25,09:45:00,22,16,2,-1,1
33,2023-01-26,10:10:00,23,17,1,-8,8
34,2023-01-26,11:30:00,24,17,2,-4,4
35,2023-01-27,08:25:00,25,18,1,-3,3
36,2023-01-27,09:55:00,26,18,2,-6,6
37,2023-01-28,10:40:00,27,19,1,-5,5
38,2023-01-28,11:20:00,28,19,2,-2,2
39,2023-01-29,08:30:00,29,20,1,-4,4
40,2023-01-29,09:30:00,30,20,2,-7,7
41,2023-01-30,10:15:00,21,21,1,-8,8
42,2023-01-30,11:15:00,22,21,2,-1,1
43,2023-01-31,08:00:00,23,22,1,-5,5
44,2023-01-31,09:00:00,24,22,2,-3,3
45,2023-02-01,10:30:00,25,23,1,-6,6
46,2023-02-01,11:00:00,26,23,2,-4,4
47,2023-02-02,08:30:00,27,24,1,-2,2
48,2023-02-02,09:30:00,28,24,2,-5,5
49,2023-02-03,10:15:00,29,25,1,-7,7
50,2023-02-03,11:15:00,30,25,2,-3,3
51,2023-02-04,08:00:00,21,26,1,-1,1
52,2023-02-04,09:00:00,22,26,2,-6,6
53,2023-02-05,10:30:00,23,27,1,-4,4
54,2023-02-05,11:00:00,24,27,2,-8,8
55,2023-02-06,08:30:00,25,28,1,-2,2
56,2023-02-06,09:30:00,26,28,2,-7,7
57,2023-02-07,10:15:00,27,29,1,-3,3
58,2023-02-07,11:15:00,28,29,2,-5,5
59,2023-02-08,08:00:00,29,30,1,-4,4
60,2023-02-08,09:00:00,30,30,2,-6,6
61,2023-04-01,08:00:00,21,16,1,-10,10
62,2023-04-01,08:15:00,22,16,2,5,-5
63,2023-04-01,08:30:00,23,17,1,-15,15
64,2023-04-01,08:45:00,24,17,2,20,-20
65,2023-04-01,09:00:00,25,18,1,-5,5
66,2023-04-01,09:15:00,26,18,2,10,-10
67,2023-04-01,09:30:00,27,19,1,-20,20
68,2023-04-01,09:45:00,28,19,2,15,-15
69,2023-04-01,10:00:00,29,20,1,-25,25
70,2023-04-01,10:15:00,30,20,2,30,-30
71,2023-04-01,10:30:00,21,21,1,-5,5
72,2023-04-01,10:45:00,22,21,2,10,-10
73,2023-04-01,11:00:00,23,22,1,-15,15
74,2023-04-01,11:15:00,24,22,2,20,-20
75,2023-04-01,11:30:00,25,23,1,-10,10
76,2023-04-01,11:45:00,26,23,2,5,-5
77,2023-04-01,12:00:00,27,16,1,-30,30
78,2023-04-01,12:15:00,28,17,1,25,-25
79,2023-04-01,12:30:00,29,18,1,-5,5
80,2023-04-01,12:45:00,30,19,1,15,-15
81,2023-04-01,13:00:00,21,20,1,-20,20
82,2023-04-01,13:15:00,22,21,1,10,-10
83,2023-04-01,13:30:00,23,22,1,-15,15
84,2023-04-01,13:45:00,24,23,1,20,-20
85,2023-04-01,14:00:00,25,16,2,-10,10
86,2023-04-01,14:15:00,26,17,2,5,-5
87,2023-04-01,14:30:00,27,18,2,-25,25
88,2023-04-01,14:45:00,28,19,2,30,-30
89,2023-04-01,15:00:00,29,20,2,-5,5
90,2023-04-01,15:15:00,30,21,2,15,-15
91,2023-04-01,15:30:00,21,22,2,-20,20
92,2023-04-01,15:45:00,22,23,2,10,-10
93,2023-04-01,08:00:00,21,24,1,-5,5
94,2023-04-01,09:00:00,22,25,2,10,-10
95,2023-04-01,10:00:00,23,26,1,-15,15
96,2023-04-01,11:00:00,24,27,2,20,-20
97,2023-04-01,12:00:00,25,28,1,-25,25
98,2023-04-01,13:00:00,26,29,2,30,-30
99,2023-04-01,14:00:00,27,30,1,-35,35
100,2023-04-01,15:00:00,28,31,2,40,-40
101,2023-04-02,08:00:00,29,32,1,-45,45
102,2023-04-02,09:00:00,30,24,2,50,-50
103,2023-04-02,10:00:00,21,25,1,-5,5
104,2023-04-02,11:00:00,22,26,2,10,-10
105,2023-04-02,12:00:00,23,27,1,-15,15
106,2023-04-02,13:00:00,24,28,2,20,-20
107,2023-04-02,14:00:00,25,29,1,-25,25
108,2023-04-02,15:00:00,26,30,2,30,-30
109,2023-04-03,08:00:00,27,31,1,-35,35
110,2023-04-03,09:00:00,28,32,2,40,-40
111,2023-04-03,10:00:00,29,24,1,-45,45
112,2023-04-03,11:00:00,30,25,2,50,-50
113,2023-04-03,12:00:00,21,26,1,-5,5
114,2023-04-03,13:00:00,22,27,2,10,-10
115,2023-04-03,14:00:00,23,28,1,-15,15
116,2023-04-03,15:00:00,24,29,2,20,-20
117,2023-04-04,08:00:00,25,30,1,-25,25
118,2023-04-04,09:00:00,26,31,2,30,-30
119,2023-04-04,10:00:00,27,32,1,-35,35
120,2023-04-04,11:00:00,28,24,2,40,-40
121,2023-04-04,12:00:00,29,25,1,-45,45
122,2023-04-04,13:00:00,30,26,2,50,-50
123,2023-04-04,14:00:00,21,27,1,-5,5
124,2023-04-04,15:00:00,22,28,2,10,-10
125,2023-04-01,09:00:00,21,33,1,-5,5
126,2023-04-01,09:15:00,22,33,2,10,-10
127,2023-04-01,09:30:00,23,34,1,-3,3
128,2023-04-01,09:45:00,24,34,2,4,-4
129,2023-04-01,10:00:00,25,35,1,-7,7
130,2023-04-01,10:15:00,26,35,2,15,-15
131,2023-04-01,10:30:00,27,36,1,-4,4
132,2023-04-01,10:45:00,28,36,2,5,-5
133,2023-04-01,11:00:00,29,37,1,-6,6
134,2023-04-01,11:15:00,30,37,2,20,-20
135,2023-04-01,11:30:00,21,38,1,-5,5
136,2023-04-01,11:45:00,22,38,2,10,-10
137,2023-04-01,12:00:00,23,39,1,-2,2
138,2023-04-01,12:15:00,24,39,2,3,-3
139,2023-04-01,12:30:00,25,40,1,-8,8
140,2023-04-01,12:45:00,26,40,2,10,-10
141,2023-04-02,09:00:00,27,33,1,-10,10
142,2023-04-02,09:15:00,28,33,2,5,-5
143,2023-04-02,09:30:00,29,34,1,-2,2
144,2023-04-02,09:45:00,30,34,2,7,-7
145,2023-04-02,10:00:00,21,35,1,-9,9
146,2023-04-02,10:15:00,22,35,2,12,-12
147,2023-04-02,10:30:00,23,36,1,-3,3
148,2023-04-02,10:45:00,24,36,2,6,-6
149,2023-04-02,11:00:00,25,37,1,-5,5
150,2023-04-02,11:15:00,26,37,2,15,-15
151,2023-04-02,11:30:00,27,38,1,-4,4
152,2023-04-02,11:45:00,28,38,2,8,-8
153,2023-04-02,12:00:00,29,39,1,-7,7
154,2023-04-02,12:15:00,30,39,2,5,-5
155,2023-04-02,12:30:00,21,40,1,-6,6
156,2023-04-02,12:45:00,22,40,2,11,-11
157,2023-03-01,09:00:00,21,41,1,-5,5
158,2023-03-01,10:00:00,22,41,2,10,-10
159,2023-03-02,11:00:00,23,42,1,-15,15
160,2023-03-02,12:00:00,24,42,2,20,-20
161,2023-03-03,13:00:00,25,43,1,-5,5
162,2023-03-03,14:00:00,26,43,2,10,-10
163,2023-03-04,15:00:00,27,44,1,-10,10
164,2023-03-04,16:00:00,28,44,2,15,-15
165,2023-03-05,17:00:00,29,45,1,-20,20
166,2023-03-05,18:00:00,30,45,2,25,-25
167,2023-03-06,08:00:00,21,46,1,-30,30
168,2023-03-06,09:00:00,22,46,2,35,-35
169,2023-03-07,10:00:00,23,47,1,-10,10
170,2023-03-07,11:00:00,24,47,2,15,-15
171,2023-03-08,12:00:00,25,48,1,-5,5
172,2023-03-08,13:00:00,26,48,2,10,-10
173,2023-03-09,14:00:00,27,49,1,-15,15
174,2023-03-09,15:00:00,28,49,2,20,-20
175,2023-03-10,16:00:00,29,50,1,-25,25
176,2023-03-10,17:00:00,30,50,2,30,-30
177,2023-03-11,08:00:00,21,41,1,5,-5
178,2023-03-11,09:00:00,22,41,2,-10,10
179,2023-03-12,10:00:00,23,42,1,15,-15
180,2023-03-12,11:00:00,24,42,2,-20,20
181,2023-03-13,12:00:00,25,43,1,5,-5
182,2023-03-13,13:00:00,26,43,2,-10,10
183,2023-03-14,14:00:00,27,44,1,10,-10
184,2023-03-14,15:00:00,28,44,2,-15,15
185,2023-03-15,16:00:00,29,45,1,20,-20
186,2023-03-15,17:00:00,30,45,2,-25,25
187,2023-03-16,08:00:00,21,46,1,30,-30
188,2023-03-16,09:00:00,22,46,2,-35,35
189,2023-03-01,08:00:00,21,51,1,-10,10
190,2023-03-01,09:00:00,22,51,2,5,-5
191,2023-03-01,10:00:00,23,52,1,-15,15
192,2023-03-01,11:00:00,24,52,2,20,-20
193,2023-03-01,12:00:00,25,53,1,-5,5
194,2023-03-01,13:00:00,26,53,2,10,-10
195,2023-03-01,14:00:00,27,54,1,-20,20
196,2023-03-01,15:00:00,28,54,2,15,-15
197,2023-03-01,16:00:00,29,55,1,-10,10
198,2023-03-02,08:00:00,30,55,2,5,-5
199,2023-03-02,09:00:00,21,56,1,-8,8
200,2023-03-02,10:00:00,22,56,2,12,-12
201,2023-03-02,11:00:00,23,57,1,-7,7
202,2023-03-02,12:00:00,24,57,2,9,-9
203,2023-03-02,13:00:00,25,58,1,-20,20
204,2023-03-02,14:00:00,26,58,2,15,-15
205,2023-03-02,15:00:00,27,59,1,-6,6
206,2023-03-02,16:00:00,28,59,2,4,-4
207,2023-03-03,08:00:00,29,60,1,-9,9
208,2023-03-03,09:00:00,30,60,2,11,-11
209,2023-03-03,10:00:00,21,51,1,-5,5
210,2023-03-03,11:00:00,22,51,2,3,-3
211,2023-03-03,12:00:00,23,52,1,-12,12
212,2023-03-03,13:00:00,24,52,2,18,-18
213,2023-03-03,14:00:00,25,53,1,-4,4
214,2023-03-03,15:00:00,26,53,2,6,-6
215,2023-03-03,16:00:00,27,54,1,-11,11
216,2023-03-04,08:00:00,28,54,2,7,-7
217,2023-03-04,09:00:00,29,55,1,-13,13
218,2023-03-04,10:00:00,30,55,2,14,-14
219,2023-03-04,11:00:00,21,56,1,-2,2
220,2023-03-04,12:00:00,22,56,2,8,-8
