pk_sales_report_id,report_type,start_date,end_date,total_sales,total_revenue,create_time
1,Weekly,2023-03-01,2023-03-07,12345.50,15342.75,2023-03-08 09:00:00
2,Monthly,2023-02-01,2023-02-28,23456.75,28906.50,2023-03-01 09:00:00
3,Annual,2022-01-01,2022-12-31,34567.90,42500.00,2023-01-01 09:00:00
4,Quarterly,2023-01-01,2023-03-31,45678.05,56007.75,2023-04-01 09:00:00
5,Weekly,2023-03-08,2023-03-14,56789.20,69854.25,2023-03-15 09:00:00
6,Monthly,2023-03-01,2023-03-31,12345.50,15000.00,2023-04-01 09:00:00
7,Weekly,2023-03-15,2023-03-21,23456.75,28765.80,2023-03-22 09:00:00
8,Quarterly,2022-10-01,2022-12-31,34567.90,42345.65,2023-01-01 09:00:00
9,Annual,2021-01-01,2021-12-31,45678.05,55987.95,2022-01-01 09:00:00
10,Weekly,2023-03-22,2023-03-28,56789.20,69012.50,2023-03-29 09:00:00